Elemento expuesto,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10
Raíces,true,true,true,true,true,true,true,true,true,true
Tallos,true,true,true,true,true,true,true,true,true,true
Ramas,true,true,true,true,true,true,true,true,true,true
Hojas,true,true,true,true,true,true,true,true,true,true
Yemas,true,true,true,true,true,true,true,true,true,true
Polinización,false,true,false,false,false,false,false,false,false,false
Floración,false,true,false,false,false,false,false,false,false,false
Desarrollo del fruto,false,false,true,true,true,true,true,true,true,true
Cosecha,false,false,false,false,false,false,false,false,false,true
Fertilización,false,false,true,false,true,false,true,false,true,false
Arvenses,true,true,true,true,true,true,true,true,true,true
