elem;ini;fin;meses ;deficit;exceso;Tmax;Tmin;ref
Preparación del terreno;1;1;;"Reducción en la humedad del suelo afectando  establecimiento del cultivo,
Endurecimiento del suelo, menor disponibilidad de nutrientes, incorporación ineficiente de enmiendas y reducción de actividad microbiana inicial.";Saturación del suelo, compactación del suelo, pérdida de nutrientes, formación de costras superficiales y pérdida de microorganismos aeróbicos.;Aumento de la evaporación superficial, Mineralización acelerada de la materia orgánica,  Mayor dureza y compactación superficial, estrés térmico para el personal ;Disminución de actividad microbiana y ralentización en la descomposición de materia orgánica.;
Transplante;2;2;;Dificultad  en la labor de siembra,  deshidratación y marchitez post-trasplante, interrupción en el desarrollo radicular;Dificultad  en la labor de siembra riesgo de asfixia radicular temprana en plántulas con raíces aún poco desarrolladas, alta mortalidad de plántulas por encharcamiento en camellones bajos o mal drenados;Dificultad en la labor de siembra, quemaduras en hojas tiernas y tallos, mortalidad alta si el trasplante se realiza en horas de radiación máxima;Reducción de la actividad radicular y fotosintética en plántulas jóvenes, retraso en el prendimiento y en la emisión de nuevas raíces;
Desarrollo de tallo principal y ramificacion;3;3;;Marchitamiento inicial, reducción del área foliar y limitación de la expansión celular, lo que conduce a una menor biomasa de la planta y un porte reducido, reducción del ciclo productivo;Tallos débiles, susceptibilidad a Phytophthora, Amarillamiento de hojas por asfixia radicular, reducción del diámetro de tallo y predisposición a vuelco;Debilitamiento de la planta favoreciendo la multiplicación de vectores, foto-inhibición y tallos delgados, predisposición a quiebre mecánico, reducción del ciclo productivo;retraso en ramificación,  crecimiento lento, retraso en aparición de bifurcaciones;
Fertilizacion;2;12;;Deficiencia nutricional marcada, pérdida de respuesta a fertilización, disminución de la absorción de fertilizantes;Lixiviación de nutrientes, baja eficiencia, reducción en la absorción de nutrientes;Disminución en eficiencia de uso de fertilizantes  por cierre estomático inducido por calor, que reduce el transporte de nitratos y aminoácidos.;Baja absorción de nutrientes por ralentización metabólica;
Brotes axilares;3;12;;Reducción en número de brotes laterales, menor vigor;Pudrición y caída de yemas bajo saturación hídrica, necrosis en yemas vegetativas, daños asociados a bacteriosis ;Abscisión de brotes por estrés térmico;Retraso en brotación yemas latentes que permanecen sin desarrollarse;
Desarrollo foliar;2;12;;Enrollamiento, reducción del área foliar, senescencia prematura, marchitamiento;Aparición de clorosis férrica por anoxia, necrosis marginal, marchitamiento;Foto-inhibición, necrosis marginal, pérdida de pigmentos, quemadura solar ;Reducción fotosintética y necrosis foliar, aumento de susceptibilidad a hongos foliares;
Control de malezas;1;12;; Pérdida de cobertura de arvenses (nobles);Proliferación de malezas hidrófilas incrementando la presion de competencia por nutrientes;  Pérdida de cobertura de arvenses (nobles);Proliferación de malezas;
Control de plagas y enfermedades;1;12;;Aumento de trips por estrés hídrico, pulgones, afidos, acaros, mosca blanca;Alta incidencia de Phytophthora capsici, esclerotium y fusarium;Incremento de vectores;Baja presión de insectos pero mayor riesgo de hongos ;
Inducción floral y desarrollo de botones ;3;3;;Retraso en la diferenciación floral;Abortos florales, caída de botones bajo exceso de humedad, mayor riesgo de Botrytis en botones húmedos;Esterilidad polínica y aborto de botones, fallo en germinación del tubo polínico;Floración tardía y deformaciones;
Floración;3;12;;Aborto floral por sequía;Pérdida de flores por hongos y caída floral, interferencia en polinización por humedad excesiva y reducción de viabilidad polínica;Baja viabilidad de polen;Bajo cuajado por frío, prolongación del periodo de antesis;
Cuajado y desarrollo inicial del fruto;4;12;;Caída temprana y bajo calibre, incremento de frutos sin semilla,  bajo porcentaje de cuajamiento;Proliferación de patógenos,  bajo porcentaje de cuajamiento;Malformaciones y quemaduras solares, rajado de frutos pequeños,  bajo porcentaje de cuajamiento; Bajo porcentaje de cuajamiento, frutos con bajo llenado, frutos de menor peso y tamaño;
Desarrollo del fruto;4;12;;Frutos pequeños, arrugados, reducción de capsaicinoides y tamaño;Pudrición apical, caida del fruto, frutos de menor peso y tamaño, frutos con bajo llenado;Maduración acelerada, frutos blandos con maduración irregular y poco pungentes;Maduración retrasada, frutos de menor tamaño y suceptible a pudrición;
Cosecha;5;12;;Bajo rendimiento total, frutos secos, pérdida de firmeza y reducción de vida útil;Dificultad por encharcamiento, pérdidas mecánicas, riesgo de brotes de patógenos poscosecha;Maduración irregular, pérdida de calidad postcosecha;Retraso en maduración y poscosecha deficiente;
