elem;ini;fin;meses;deficit;exceso;Tmax;Tmin;ref
Preparación del terreno;1;1;;"Reducción en la humedad del suelo afectando  establecimiento del cultivo,
Endurecimiento del suelo menor disponibilidad de nutrientes";Saturación del suelo, compactación del suelo, pérdida de nutrientes;Evaporación rápida, estrés térmico, descomposición acelerada;Disminución de actividad microbiana y lentitud en descomposición de materia orgánica.;
Germinacion ;1;1;;Baja germinación, plántulas débiles bajo déficit hídrico;Pudrición de semillas y damping-off en ambientes encharcados;Altas temperaturas reduce la germinación, alargamiento radicular;Temperaturas bajas disminuyen germinación y vigor;
Emergencia;1;1;;Retraso en emergencia, alta mortalidad en plántulas;Muerte de plántulas por asfixia radicular;Estrés oxidativo, clorosis, debilitamiento;Crecimiento lento;
Desarrollo de tallo principal y ramificacion;1;3;;Menor ramificación, reducción en biomasa aérea;Tallos débiles, susceptibilidad a Phytophthora;Debilitamiento de la planta favoreciendo la multiplicación de vectores, color (moteado) en hojas y tallos jóvenes,;retraso en ramificación;
Fertilizacion;1;3;;Deficiencia nutricional marcada, pérdida de respuesta a fertilización;Lixiviación de nutrientes, baja eficiencia;La planta presenta enanismo y no responde a la aplicación de fertilizantes;Baja absorción de nutrientes por ralentización metabólica;
Brotes axilares;2;3;;Reducción en número de brotes laterales, menor vigor;Pudrición y caída de yemas bajo saturación hídrica;Abscisión de brotes por estrés térmico;Retraso en brotación;
Desarrollo foliar;1;3;;Enrollamiento, reducción del área foliar;Clorosis, necrosis marginal;Las hojas no son uniformes en color ni en forma, presentando manchas verde oscuro, verde claro o incluso moteados blanco-crema. ;Reducción fotosintética y necrosis foliar;
Control de malezas;1;3;;;Proliferación de malezas (Capsicum silvestre, Solanáceas espontáneas);;;
Control de plagas;1;9;;;Alta incidencia de Phytophthora capsici;Incremento de vectores;Baja presión de insectos pero mayor riesgo de hongos de frío;
Emergencia de Inflorescencia;3;4;;Retraso en la diferenciación floral;Abortos florales, caída de botones bajo exceso de humedad.;Esterilidad polínica y aborto de botones;Floración tardía y deformaciones;
Floración;3;4;;Aborto floral por sequía;Pérdida de flores por hongos y caída floral;Baja viabilidad de polen, menor cuajado;Bajo cuajado por frío;
Cuajado y desarrollo inicial del fruto;5;9;;Caída temprana y bajo calibre;Deterioro del furto;Malformaciones y quemaduras solares;Bajo cuajado, frutos pequeños;
Desarrollo del fruto;5;9;;Frutos pequeños, arrugados;Pudrición apical asociada a exceso de agua;Maduración acelerada, frutos blandos y poco pungentes;Maduración retrasada, frutos de menor tamaño;
Cosecha;5;9;;Bajo rendimiento total, frutos secos;Dificultad por encharcamiento, pérdidas mecánicas;Maduración irregular, pérdida de calidad postcosecha;Retraso en maduración y poscosecha deficiente;
