elem;ini;fin;meses;deficit;exceso;Tmax;Tmin;ref
Preparación del terreno;1;1;;compactación del suelo, bajo desarrollo radicular, pobre desarrollo de plántulas, dificultad de planta para toma de nutrientes, estrés hidrico, alta vulnerabilidad a plagas y enfermedades;Erosión del suelo, compactación del suelo, reducción de la porosidad del suelo, bajo desarrollo de raíces, retraso en labores de preparación, dificultad  de labores;Incremento en la evaporación del perfil edáfico, reduciendo la humedad del suelo y afectando la estructura y capacidad de agregación, lo que dificulta las operaciones de labranza y la formación adecuada de camas de siembra;Saturación del perfil edáfico,  condiciones anóxicas que reducen la actividad microbiana y la mineralización de nutrientes  del suelo;
Siembra;1;1;;Estrés hídrico en plántulas, en bajo desarrollo, suceptibilidad a plagas y enfermedades, plantas desiguales, limitación en desarrollo de raíces, baja absorción de nutrientes, crecimiento más lento;Encharcamiento del suelo, dificultad en manipulación de plántulas, retraso en labor de siembra, incremento de costos;Muerte de plántulas, crecimiento raquítico;"Retraso en la germinación y desarrollo radicular
";
Raices;1;24;;Bajo desarrollo de raíces, baja absorción de nutrientes, plántulas débiles,disminución en tasa de crecimiento de las plantas, susceptibilidad a Phytophtora, Rizoctonia y Phoma;Pudrición de raices, debilitamiento de plantas por asfixia radicular, baja absorción de nutrientes, Phytophthora Cinnamomi, Verticillium alboatrum, marchitamiento de la planta;Muerte de raíces absorbentes y estrés hídrico;Inactividad radicular y pudrición por Phytophthora;
Hojas;1;24;;"Marchitez, reducción en la tasa de crecimiento, clorosis, pulgones, oídio,
Deformación y caida de hojas por trips
Oligonychus yothersi (Acaro rojo), Manchas cafés en hojas (Bronceado de las hojas)";"Lesiones en hojas (roña) por Sphaceloma persea, clorosis foliar, defoliación prematura, aparición de hongos foliares como oídio, Rhizoctonia (Pudrición del Collar)
Rasgado de hojas  por cucarrones marceños";"Quemaduras foliares y cierre estomático
";Necrosis en hojas jovenes ;
Ramas;1;24;;Mancha marrón por Cercospora purpurea, Muerte de ramas por Stenoma catenifer, perdida de turgencia, mayor susceptibilidad a daños por viento, Antracnosis, Araña Roja (Tetranychus spp), defoliadores y minadores de rama;Lesiones en ramas (roña) por Sphaceloma persea, Cercospora spp, Antracnosis (Colletotrichum spp), pérdida prematura de hojas, plantas débiles, debilitmiento de la estructura de las ramas;Grietas, daño estructural ;Necrosis en ramas jovenes ;
Brotes o meristemos;1;24;;Muerte descendente de ramas y brotes por Glomerella singulata, brotes mas cortos y débiles, pérdida de turgencia, menor cantidad de brotes nuevos, Araña Roja (Tetranychus spp), presencia de cochinillas;Aparición de Alternaria, reducción en crecimiento que afecta la poroducción de nuevas ramas, deformación de brotes, Hormigas y Cochinillas, Mosca de la Fruta (Ceratitis capitata), Hongos Patógenos (Botrytis cinerea), ;Reducción en eficiencia fotosintética y puede haber desecación de yemas en días secos, impacto acumulativo en iniciación de brotes, cierre estomaico, Riesgo elevado de necrosis apical;Daño en tejidos meristemáticos y necrosis de brotes tiernos, ralentizamiento en la división/expansión celular, muerte tisular en hojas y brotes, pérdida de brotes terminales;
Tallo;1;24;;Gomosis, corteza agrietada, debilitamiento de la planta, bajo desarrollo, Cancro Bacteriano (Xanthomonas axonopodis pv Citri), Insectos Perforadores del Tronco (Ambrosia beetles);Pudrición del Tronco (Phytophthora spp), Gomosis (Exudación de Goma), Cancro Bacteriano que causa pérdida de tejido y debilitamiento, agrietamiento de corteza que causa entrada de patógenos;Debilitamiento estructural ;Reducción en  la elasticidad de tejidos y el metabolismo basal Posible lentitud en el engrosamiento del tallo y en transporte de carbohidratos, reduccion en la capacidad del rebrote ;
Fertilización;;;3,5,7,9,11,13,15,17,19,21,23;reduccion en la disponibilidad de nutrientes del suelo, plantas débiles y susceptibles a enfermedades y plagas, volatilización de compuestos químicos;pérdida de nutrientes por lixiviación y escorrentía, desplazamiento de fertilizante, dilución de fertilizante, desnutrición de las plantas;aumento de la transpiración de la planta lo que puede generar un estrés hídrico y dificultar la  absorción de los nutrientes aplicados, ineficacia de la fertilizacion debido a afectación de la microbiota del suelo por altas temperaturas;Reducción en la absorción de fertilizantes,  fertilizantes aplicados no se absorben y pueden acumularse o perderse por escorrentía Riesgo de toxicidad localizada por amonio si se aplica previo a helada;
Arvenses;1;24;;disminución en el crecimiento de arvenses nobles,  aceleración de procesos de erosión del suelo;germinación y crecimiento acelerado de arveneses, mayor dispersión de semillas, dificultad en la aplicación de herbicidas, arvenses hospederos alternos de plagas, competencia por nutrientes;Proliferación de arvenses C4 tolerantes a temperaturas altas, dificultad para control mecanico por suelos secos;Menor eficacia en control de arvenses manual/ químico, ;
Yemas;1;24;;Reduccion del crecimiento, mayor vulnerabilidad a plagas y enfermedades, Antracnosis (Colletotrichum spp), Oídio (Podosphaera spp), ácaros;retraso en la brotación de la yema, Antracnosis (Colletotrichum spp), Podredumbre de la Yema (Phytophthora cinnamomi), Pudrición de las Yemas por Hongos (Rhizopus, Fusarium, entre otros);Floración desuniforme y caída de yemas;Pérdida de potencial productivo y brotación tardía;
