elem;ini;fin;meses;deficit;exceso;Tmax;Tmin;ref
Preparación del terreno;1;1;;Compactación del suelo, Dificultades en el labrado por falta de humedad, Erosión, Aumento de costos, Retraso en la siembra;Erosión del terreno, Pérdida de nutrientes, Dificultades en el labrado por saturación de agua, El suelo no se pulveriza, Aumento de costos;Evaporación rápida, estrés térmico, descomposición acelerada;Disminución de actividad microbiana y lentitud en descomposición de materia orgánica.;
Siembra y Germinación;1;1;;Retraso de la germinación, Muerte de la planta por sequía, Disminución del crecimiento radical ;Pudrición de semillas, Asfixia radicular, Baja germinación, Desuniformidad en la germinanción, Plagas en el suelo y Plagas en el refugio;Reducción en el contenido de agua en las glumas de la panoja, dehiscencia de anteras, reducción en el tamaño de las semillas. Reducción en el vigor de la semilla, pérdida de viabilidad y reducción de la germinación de semillas y pérdida de población.;"Retraso en emergencia, germinación tardía, pérdida de latencia. limitan el crecimiento de las plántulas, y desestabilizan el mecanismo de defensa antioxidante.
Daño por enfriamiento de imbibición, pudrición de semillas y clorosis.
Reducción de la energía de germinación, azúcares solubles y actividad de la alfa-amilasa";"Niu, S. et al. (2024); Chandna, P. et al  (2023).  Djalovic et al (2023); 
"
Primera Fertilización;1;1;;Reducción en la absorción de nutrientes especialmente de fósforo, Evaporación y volatilización de nitrógeno.;Lixiviación y lavado de nutrientes principalmente nitrógeno, Dilución rápida, Intoxicación por transporte excesivo de elementos móviles como N y K, Plantas débiles;;"El estrés por bajas temperaturas también provoca deficiencia de macronutrientes (N, P, K, Ca, Mg) en brotes y raíces, al limitar el transporte de metabolitos. 
La planta presenta síntomas de estrés por sequía y deficiencia de fósforo";Chandna, P. et al  (2023). 
Aplicación de herbicida preemergente;;;;Reducción de la eficacia en el control de malezas;Movimiento del herbicida más allá de la zona de las raíces de las malezas disminuyendo su efectividad, Reducción en el control de malezas y potencial contaminación de aguas subterráneas.;;;
Aplicación de insecticidas ;;;;;;"Ataque de insectos como Spodoptera frugiperda, Helicoverpa zea o trips (Frankliniella williamsi), Supervivencia de artropodos.
Las altas temperaturas aceleran el metabolismo de los insectos, aumentando su tasa de crecimiento, consumo y desarrollo. 
El estrés térmico aumenta la susceptibilidad de las plantas a la invasión de patógenos al interferir con sus mecanismos de defensa. El estrés térmico afecta la síntesis de enzimas de defensa, como el ácido salicílico, que activa el sistema inmunitario de la planta.";;Djalovic, I. et al  (2023). 
Etapa fenológica V1;;;;Sistema de raíces más pequeño, plantas mas pequeñas, Presencia de Áfidos y Pulgones vectores de virus.;Incremento de plagas en el suelo, Incremento de plagas en el refugio, Asfixia radicular, Enfermendades causadas por hongos y bacterias. ;"Alteración en las relaciones hídricas de la planta. 
Alteración en la división y crecimiento celular. Alteración en la absorción de nutrientes. 
Reducción en el crecimiento de raíces y ensanchamiento de las hojas. 
Reducción en el crecimiento del tallo y la raíz.";"Desequilibrio fisiologico que afecta el rendimiento, enanismo en la planta, reducción de la actividad radicular disminuyendo la absorcion de agua desencadenando el marchitamiento de la planta.
Disminución de la fluorescencia y concentración de clorofila";"Félix, P. et al. (2024)
Omar Nazhan (2018). 
Chandna, P. et al  (2023).  "
Aplicación de herbicida (V4-V5);;;;Reducción de la eficacia en el control de malezas;Movimiento del herbicida más allá de la zona de las raíces de las malezas disminuyendo su efectividad, Reducción en el control de malezas y potencial contaminación de aguas subterráneas.;;;
Etapa fenologica (V6) ;;;;"Marchitamiento de las plantas jóvenes y reducción de la densidad de población. Baja absorción de nutrientes debido a la disminución en el uso del agua
por parte de la planta.";Disminución del crecimiento y desarrollo de la planta;"Disminución en la tasa fotosintetica, Reducción de la elongación por bajo potencial hídrico. 
Formación de espigas subdesarrolladas, que eventualmente mueren debido a la desecación, conocida como ""explosión de espigas"" (TSBL). Además, se ha informado que la lesión de los tejidos reproductivos en forma de TSBL reduce el número de polen viable. 
Además, la formación dañada del tubo polínico junto con la receptividad estigmática deteriorada debido a la sequedad del estigma podría impactar directamente el establecimiento de semillas, lo que eventualmente resulta en un menor rendimiento bajo estrés por calor.";"Daño foliar, pérdida de intensidad en la coloración de la planta y una desaceleración del proceso fotosintético, prolongación del periodo vegetativo y retraso significativo en el inicio de la antesis.
Disminución significativa de la altura de la planta y la biomasa total del cultivo de maíz. El desarrollo de las hojas se vuelve lento debido a un ciclo celular prolongado y una tasa de mitosis reducida ";"Baomei,W. et al. (2019). 
Zaidi, P. H. et al (2016). 
Félix, P. et al. (2024). 
Sáez-Cigarruista, A. et al (2024).
Djalovic, I. et al (2023). 
Chandna, P. et al  (2023). "
Segunda Fertilización (V6);;;;Reducción en la absorción de nutrientes especialmente de fósforo, Evaporación y volatilización de nitrógeno.;Lixiviación y lavado de nutrientes principalmente nitrógeno, Dilución rápida, Intoxicación por transporte excesivo de elementos móviles como N y K, Plantas débiles;;;
Etapa Fenológica V10;;;;Disminución del área foliar y la capacidad fotosintética lo que reduce el potencial de rendimiento, Bajo desarrollo de raíces, Reducción en el tamaño de los granos;Asfixia de raíces por baja disponibilidad de oxigeno en el suelo, plantas débiles, Pobre desarrollo de la mazorca;Reducción en el tamaño final de hojas e internudos, retraso en la aparición de la espiga y los estigmas, disminución en la longitud promedio de la espiga, reducción del número de hileras, ausencia de granos en la porcion apical por la interupción del desarrollo de primordios, Disminución en la tasa fotosintetica,  Degradación de pigmentos fotosintéticos;"Aparición tardía de la espiga, daño foliar, retraso fenológico.
Alteración del funcionamiento del fotosistema II y de la eficiencia en el uso del agua
Trastornos en el intercambio gaseoso, división celular y elongación ";"Baomei,W. et al. (2019). 
Félix, P. et al. (2024). 
Chandna, P. et al  (2023). "
Tercera fertilización V10;;;;Reducción en la absorción de nutrientes especialmente de fósforo, Evaporación y volatilización de nitrógeno;Lixiviación y lavado de nutrientes principalmente nitrógeno, Dilución rápida, Intoxicación por transporte excesivo de elementos móviles como N y K, Plantas débiles;Supresión del proceso de fertilización;;
Espigamiento (VT);;;;"Bajo desarrollo de grano, Afectación en la viabilidad del polen, Reducción del rendimiento, asincronía entre la liberación de polen y la receptividad de los estigmas. 
Desarrollo del área foliar y disminución de la capacidad de fotosíntesis de la planta.";Pudrición por hongos y bacterias, Caída de polen;Inhibición en el desarrollo de las flores masculinas alteran la dehiscencia de las anteras, reducción en la viabilidad del polen, Limitación en la acumulación de materia seca, reducción en el tamaño de la espiga. Alargamiento del intervalo antesis–emergencia de estigmas;"Crecimiento anormal de la espiga, lo que afecta los procesos de polinización y llenado de grano.
 Cierre estomático y explosión de la panoja";"Niu, S. et al. (2024). 
Sáez-Cigarruista, A. et al (2024). 
Chandna, P. et al  (2023). "
