elem;ini;fin;meses;"deficit
";exceso;Tmax;Tmin;ref
Poda de mantenimiento ;1;1;;Entrada de hongos, Patógenos, Formación de nudos;Proliferación de hongos saprófitos  (Ceratocystis) en cortes;"Brotes jóvenes afectados por insolación, Pérdida de área foliar,
Plantas con recuperación vegetativa limitada";Metabolismo reducido de la planta, Cicatrización lenta de las heridas, Aumento de la susceptibilidad de los cortes frescos a la entrada de enfermedades;
Aplicación de enmiendas (Corrección de acidez y enmienda organica) ;2;2;;Baja disponibilidad de agua para absorción, Deficiencia de nutrientes esenciales;Anegamiento, Lixiviación acelerada de iones;Reducción de actividad de enzimas de síntesis de materia orgánica;Reducción de la actividad microbiana, Reducción de la mineralización de materia orgánica, Disminución de la solubilidad y disponibilidad de nutrientes, Menor respuesta de la planta a la corrección de suelos;
Deschuponado (cada 2 meses);;;3,5,7,9,11;Producción acelerada de chupones,  Desarrollo de brotes inproductivos;"Alta humedad en las heridas recientes, Hongos patógenos (Phytophthora; Ceratocystis; etc), Limitación de la absorción de nutrientes necesarios para la regeneración, Mayor rebrote de chupones en clones vigorosos";"Rápida deshidratación en las heridas, que puede causar quemaduras o daño tisular en la zona podada y por consiguiente una cicatrización deficiente
Estrés térmico en la planta, que limita la regeneración ordenada de brotes.
Mayor atracción de insectos a las heridas expuestas, como escarabajos vectores de enfermedades.";"Cicatrización muy lenta de las heridas del deschuponado.
Mayor exposición a patógenos.";
Control de arvenses y plateo (cada 2 meses);;;2,4,6,8,10,12;Baja retención de humedad del suelo;Disminución de la aireación del suelo tras el control.;Mayor insolación en raíces superficiales y cuello del árbol, Incremento de evapotranspiración en el área de plateo, Menor disponibilidad de humedad y nutrientes;Estrés radicular en suelos descubiertos;
Fertilización ;;;3, 9;Baja absorción de nutrientes, Volatilización de los elementos minerales;Anegamiento, Pérdida de nutrientes esenciales por lixiviación;Afectación en la síntesis de giberelinas y auxinas, Afectaciones en el crecimiento y asimilación de nutrientes, Pobre respuesta a la fertilización, Reducción en la eficiencia del uso de nutrientes aplicados;Ralentización metabólica, Baja absorción de nutrientes;
Cosecha ;9;12;;Retraso en la maduración del grano;Dificultad en la cosecha por humedad;Estrés térmico durante la maduración, Disminución en la calidad del grano, Variaciones en la actividad enzimática de la ruta de los ácidos grasos, Presencia de phytophthora;Retraso en la maduración de mazorcas, Heterogeneidad en la cosecha, Pudrición en frutos por mayor humedad, Dificultad en el desprendimiento de frutos, Daños mecánicos en los frutos, Menur acumulación de azúcares en la similla, Reducción en la calidad de la semilla;"Daymond A et al (2007),
Rodriguez P (2015)"
Raices ;1;12;;"Reducción en la absorción de agua y nutrientes, Afectando del crecimiento general de la planta, Aumento de la tensión en el xilema,  
Potencial hidrico de las plantas se torna más negativo, 
Defoliación parcial o total de la planta";Daño en el sistema  radical, Asfixia de las raices, Muerte de la planta por  Phythoptora y Ceratosystis;"Formación de burbujas de aire en el xilema, Bloqueo del transporte de agua,
Afectación de raices superficiales, Limitación de la capacidad de absorción";Disminución en actividades de las raices;"Opoku E. (2024),
Rodriguez P (2015),
Paredes M (2003)"
Tallo y corteza;1;12;;"Pérdida de turgencia, Reducción de la resistencia estructural 
";Mayor incidencia de phytophthora (Cancer de tallo), Fusarium.;Deshidratación y fisuras en la corteza, Entrada de patógenos.;"

Afectación de la funcionalidad del floema, Limitación en el movimiento de carbohidratos hacia raíces y órganos en crecimiento, Retraso en el engrosamiento del tallo";"Rodriguez P (2015),
Daymond A et al (2007),
Agudelo G et al ( 2021)"
Ramificación;1;12;;Menor número de ramas laterales, Reducción en producción potencial;Mayor incidencia de phytophthora, Lasiodiplodia;"Estrés térmico, Disminución en la capacidad de la ramificación para sostener frutos
";"Retraso en la brotación y en la aparición de nuevas ramas, Crecimiento lento de las ramificaciones, Entrenudos cortos,
Tejidos tiernos más susceptibles a hongos";"Rodriguez P (2015),
Daymond A et al (2007)"
Brotes y Yemas axilares ;1;12;;Menor formación de brotes, Secamiento de brotes. Acortamiento en la distancia de los lanzamientos vegetativos;Mayor incidencia de escoba de bruja;Marchitez y muerte de brotes jóvenes, Aborto de yemas axilares, Necrosis por quemaduras solares;Retraso en la brotación, necrosis de yemas tiernas, Mayor susceptibilidad a infecciones, Desuniformidad en el desarrollo de ramas;"
"
