elem;ini;fin;meses;deficit;exceso;Tmax;Tmin;ref
Establecimiento del sombrio permanente y transitorio (Forestales);1;6;Reducción en la humedad del suelo Afectaciones en el establecimiento del cultivo Endurecimiento del suelo Menor disponibilidad de nutrientes Saturación del suelo Erosión Compactación pérdida de nutrientes; ; ; ;
Preparacion del terreno (Trazado Ahoyado y drenajes);6;6;Reducción en la humedad del suelo Afectaciones en el establecimiento del cultivo Endurecimiento del suelo Menor disponibilidad de nutrientes Saturación del suelo Erosión Compactación pérdida de nutrientes; ; ; ;
Aplicación de enmiendas (Corrección de acidez y enmienda organica);6;6;Baja disponibilidad de enmiendas y agua Deficiencia de nutrientes esenciales Baja eficiencia en la incorporación de enmiendas Reducción en la actividad microbiana Afectacion de la mineralización; ; ; ;
Establecimiento en campo;7;7;Deshidratación de plántulas recién transplantadas Falta de humedad en el hoyo de siembra Limitación en la activación de raíces Limitación en la absorción de nutrientes Reducción de la tasa de crecimiento Encharcamiento del hoyo de siembra; ; ; ;
Fertilización edáfica ;9;13;17;21;Baja absorción de nutrientes Pérdida de nutrientes esenciales por lixiviación Anegamiento del suelo Afectacion en la síntesis de giberelinas y auxinas Afectaciones en el crecimiento y asimilación de nutrientes Pobre respuesta a fertilizantes; ; ; ;
Deschuponado ;9;11;13;15;Reducción de la capacidad de cicatrizar heridas del deschuponado Baja brotación posterior Limitación del crecimiento de nuevos brotes Entrada de patógenos por heridas no cicatrizadas Hongos patógenos (Phytophthora Ceratocystis etc) Limitación de la brotación; ; ; ;
Poda de formación ;20;20;Aborto floral Secamiento de las plantas Hongos saprófitos en cortes (Ceratocystis y Corticium salmonicolor mal rosado) Reducción de la capacidad de transpiración y regulación térmica Exposición de tejidos jóvenes a deshidratación Aumento de patógenos; ; ; ;
Control de arvenses y plateo ;8;10;12;14;16;18;20;22;Baja retención de humedad del suelo Disminución de la aireación del suelo tras el control Mayor insolación en raíces superficiales y cuello del árbol Incremento de evapotranspiración en el área de plateo Menor humedad edáfica; ; ; ;
Raices;6;23;Reducción en la absorción de agua Afectando el crecimiento general de la planta Aumento de la tensión en el xilema Potencial hídrico de las plantas se torna más negativo Muerte de la planta Daño en el sistema radical Asfixia de las raíces; ; ; ;
Tallo y corteza;6;23;Pérdida de turgencia Reducción de la resistencia estructural Mayor incidencia de phytophthora (Cancer de tallo) Fusarium Deshidratación y fisuras en la corteza Entrada de patógenos Afectacion de la funcionalidad del floema Limitación en el transporte de nutrientes; ; ; ;
Ramificación;6;23;Menor número de ramas Reducción en producción potencial Mayor incidencia de phytophthora Lasiodiplodia Estrés térmico Disminución en la capacidad de la ramificación para sostener frutos Retraso en la brotación y en la aparición de nuevas ramas; ; ; ;
Brotes y Yemas axilares ;6;23;Menor formación de brotes Secamiento de brotes Acortamiento en la distancia de los lanzamientos vegetativos Mayor incidencia de escoba de bruja Marchitez y muerte de brotes jóvenes Aborto de yemas axilares Necrosis por quemaduras solares; ; ; ;
Hojas;6;23;Defoliación de la planta Cierre de estomas para conservación de agua Disminución en la absorción de CO2 Mayor densidad de estomas por unidad de área Fotorespiración y desnaturalización de enzimas Mayor incidencia de phytophthora Antracnosis Marchitamiento de hojas; ; ; ;







